id;nome;codigo_barras;preco_venda;preco_custo;categoria;fornecedor_id;estoque_minimo;unidade_medida;descricao;ativo;data_criacao;data_atualizacao;codigo_interno;venda_por_peso;
1;Arroz  Parboilizado Achei;7898907120272;3,3;3,5;Açougue;;10;KG;;1;2025-12-03 02:52:27;2025-12-03 02:52:27;;0;Também na menor
2;senador;7891134001819;5,7;1;Outros;;5;UN;;1;2025-12-04 20:57:41;2025-12-04 20:57:41;;0;Também na menor
3;mini cracker fort;7891152321302;5,7;4;;;0;und;;1;2025-12-04 21:06:39;2025-12-04 21:06:39;;0;Também na menor
4;rechead morang richesrt;7891152801798;2,7;2,16;Outros;;10;UN;;1;2025-12-04 21:28:18;2025-12-04 21:28:18;;0;Também na menor
5;animadozoo quad chocolat p;7891152800128;1,35;1;Outros;;0;UN;;1;2025-12-04 21:32:06;2025-12-04 21:32:06;;0;Também na menor
6;kit pantene;7500435128353;31;28;;;50;UN;;1;2025-12-04 21:42:23;2025-12-04 21:42:23;;0;Também na menor
7;kit dove;7891150097643;31;27;;;50;UN;;1;2025-12-04 21:43:57;2025-12-04 21:43:57;;0;Também na menor
8;kit elseve sonho;7908785476825;31;27;;;0;UN;;1;2025-12-04 21:50:04;2025-12-04 21:50:04;;0;Também na menor
9;kit skala;7897042016419;25;22;;;0;UN;;1;2025-12-04 21:54:45;2025-12-04 21:54:45;;0;Também na menor
10;sha seda glos;7891150037397;9,8;7;;;0;UN;;1;2025-12-04 21:58:29;2025-12-04 21:58:29;;0;Também na menor
11;sha seda reparaç;7891150101692;9,8;7;;;0;UN;;1;2025-12-04 22:00:45;2025-12-04 22:00:45;;0;Também na menor
12;sha seda pretos;7891150037526;9,8;7;;;0;UN;;1;2025-12-04 22:03:03;2025-12-04 22:03:03;;0;Também na menor
13;sha seda cachos;7891150037595;9,8;7;;;0;UN;;1;2025-12-04 22:04:37;2025-12-04 22:04:37;;0;Também na menor
14;sha seda complex;7891150037458;9,8;7;;;0;UN;;1;2025-12-04 22:05:52;2025-12-04 22:05:52;;0;Também na menor
15;sha seda liso;7891150037519;9,8;7;;;0;UN;;1;2025-12-04 22:06:46;2025-12-04 22:06:46;;0;Também na menor
16;sha seda oleo;7891150037540;9,8;7;;;0;UN;;1;2025-12-04 22:07:57;2025-12-04 22:07:57;;0;Também na menor
17;sha seda silk;7891150101616;9,8;7;;;0;UN;;1;2025-12-04 22:09:17;2025-12-04 22:09:17;;0;Também na menor
18;sha seda glicol;7891150099845;9,8;7;;;0;UN;;1;2025-12-04 22:10:36;2025-12-04 22:10:36;;0;Também na menor
19;cond seda pretos;7891150037342;9,8;7;;;0;UN;;1;2025-12-04 22:12:31;2025-12-04 22:12:31;;0;Também na menor
20;cond seda liso;7891150037328;9,8;7;;;0;UN;;1;2025-12-04 22:13:30;2025-12-04 22:13:30;;0;Também na menor
21;cond seda oleo;7891150037366;9,8;7;;;0;UN;;1;2025-12-04 22:15:45;2025-12-04 22:15:45;;0;Também na menor
22;cond seda babosa;7891150060722;9,8;7;;;0;UN;;1;2025-12-04 22:16:45;2025-12-04 22:16:45;;0;Também na menor
23;cond seda hidrataç;7891150088504;9,8;7;;;0;UN;;1;2025-12-04 22:17:31;2025-12-04 22:17:31;;0;Também na menor
24;cond seda extremo;7891150037632;9,8;7;;;0;UN;;1;2025-12-04 22:18:28;2025-12-04 22:18:28;;0;Também na menor
25;crem seda colageno;7891150080102;8,8;7;Outros;;0;UN;;1;2025-12-04 22:19:35;2025-12-04 22:19:35;;0;Também na menor
26;crem seda liso;7891037010048;8,8;6,5;;;0;UN;;1;2025-12-04 22:21:06;2025-12-04 22:21:06;;0;Também na menor
27;crem seda cachos;7891037000322;8,8;6,5;;;0;UN;;1;2025-12-04 22:22:41;2025-12-04 22:22:41;;0;Também na menor
28;creme seda pretos;7898422745301;8,8;6,5;;;0;UN;;1;2025-12-04 22:23:56;2025-12-04 22:23:56;;0;Também na menor
29;seda boom maximo;7891150088375;15;12;;;0;UN;;1;2025-12-04 22:26:52;2025-12-04 22:26:52;;0;Também na menor
30;gotinha;7898943754813;5;3;;;0;UN;;1;2025-12-04 22:29:49;2025-12-04 22:29:49;;0;Também na menor
31;sha fattore jabor;7898932946885;25;20;;;0;UN;;1;2025-12-04 22:31:18;2025-12-04 22:31:18;;0;Também na menor
32;cif;7891150090804;13;10;;;0;UN;;1;2025-12-04 22:34:44;2025-12-04 22:34:44;;0;Também na menor
33;UAU;7891242457010;6;4;;;0;UN;;1;2025-12-04 22:37:06;2025-12-04 22:37:06;;0;Também na menor
34;Mon bijou;7891022867374;12;10;Limpeza;;5;UN;;1;2025-12-04 22:38:42;2025-12-04 22:38:42;;0;Também na menor
35;hid paixão rosas b;78907850;10;8;;;0;UN;;1;2025-12-04 22:42:57;2025-12-04 22:42:57;;0;Também na menor
36;hid paixão flor de lis;78914957;10;8;;;0;UN;;1;2025-12-04 22:45:12;2025-12-04 22:45:12;;0;Também na menor
37;HID PAIXÃO AVELÃ;7896235354062;10;8;Perfumaria;;5;UN;;1;2025-12-04 22:49:52;2025-12-04 22:49:52;;0;Também na menor
38;hid monange amendoas;7896235354055;10;8;;;0;UN;;1;2025-12-05 10:28:58;2025-12-05 10:28:58;;0;Também na menor
39;oleo paixao amendoas;7896235354024;12;9;;;0;UN;;1;2025-12-05 10:30:24;2025-12-05 10:30:24;;0;Também na menor
